"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.477735920E-1,-1.264037490E0,4.641999900E-1,-2.212374955E-1,1.364631245E0
1.502793610E-1,-1.300612450E0,4.679124951E-1,-2.615250051E-1,1.406744531E0
1.527830550E-1,-1.336087465E0,4.776749909E-1,-3.177624941E-1,1.454055059E0
1.552877460E-1,-1.361799955E0,4.899125099E-1,-3.837625086E-1,1.497259847E0
1.577923700E-1,-1.384899974E0,4.824874997E-1,-4.483875036E-1,1.533555828E0
1.602969100E-1,-1.405662537E0,4.654375017E-1,-5.083374977E-1,1.565543435E0
1.628015240E-1,-1.430137515E0,4.471499920E-1,-5.656750202E-1,1.601631873E0
1.653061390E-1,-1.455850005E0,4.287250042E-1,-6.206749678E-1,1.639677341E0
1.678107550E-1,-1.483899951E0,4.079625010E-1,-6.708624959E-1,1.678823682E0
1.703163700E-1,-1.511950016E0,3.847250044E-1,-7.184374928E-1,1.717602577E0
1.728200640E-1,-1.536424994E0,3.566749990E-1,-7.624375224E-1,1.751893203E0
1.753246780E-1,-1.553612471E0,3.176249862E-1,-8.027250171E-1,1.777347685E0
1.778292880E-1,-1.552374959E0,2.626250088E-1,-8.357250094E-1,1.782491571E0
1.803339030E-1,-1.541375041E0,2.015749961E-1,-8.614374995E-1,1.777229322E0
1.828385190E-1,-1.511950016E0,1.416250020E-1,-8.784874678E-1,1.754363338E0
1.853433650E-1,-1.465612531E0,7.328750193E-2,-8.919624686E-1,1.717261830E0
1.878479820E-1,-1.399612546E0,1.099999994E-3,-8.944374919E-1,1.661004189E0
1.903535910E-1,-1.311612487E0,-6.971249729E-2,-8.894875050E-1,1.586308661E0
1.928572080E-1,-1.211512446E0,-1.295250058E-1,-8.809624910E-1,1.503540503E0
1.953618220E-1,-1.103987455E0,-1.698125005E-1,-8.747749925E-1,1.418751520E0
1.978664370E-1,-1.001274943E0,-1.820500046E-1,-8.760125041E-1,1.342792472E0
2.003710520E-1,-9.024124742E-1,-1.662375033E-1,-8.907250166E-1,1.278817515E0
2.028756440E-1,-8.071249723E-1,-1.295250058E-1,-9.151999950E-1,1.227117956E0
2.053803360E-1,-7.166500092E-1,-8.318749815E-2,-9.492999911E-1,1.192341339E0
2.078849530E-1,-6.263124943E-1,-2.199999988E-2,-9.860125184E-1,1.168320173E0
2.103907210E-1,-5.443624854E-1,4.152499884E-2,-1.025062442E0,1.161381871E0
2.128943960E-1,-4.675000012E-1,1.086250022E-1,-1.064249992E0,1.167468924E0
2.153990090E-1,-3.977875113E-1,1.698125005E-1,-1.099587440E0,1.181593724E0
2.179036250E-1,-3.305499852E-1,2.246749997E-1,-1.127774954E0,1.196502610E0
2.204082400E-1,-2.682625055E-1,2.821500003E-1,-1.152112484E0,1.216115361E0
2.229128560E-1,-2.132624984E-1,3.396250010E-1,-1.169299960E0,1.236158740E0
2.254174710E-1,-1.669249982E-1,3.946250081E-1,-1.176587462E0,1.252178465E0
2.279220860E-1,-1.229249984E-1,4.494875073E-1,-1.180299997E0,1.268959282E0
2.304277020E-1,-8.868750185E-2,5.094375014E-1,-1.182637453E0,1.290745283E0
2.329313190E-1,-6.668750197E-2,5.717250109E-1,-1.182637453E0,1.315274898E0
2.354360090E-1,-5.087500066E-2,6.340125203E-1,-1.180299997E0,1.340771504E0
2.379406490E-1,-4.344999790E-2,6.902499795E-1,-1.175349951E0,1.363737674E0
2.404452640E-1,-4.111250117E-2,7.452499866E-1,-1.172875047E0,1.390224318E0
2.429498800E-1,-4.963750020E-2,7.965375185E-1,-1.172875047E0,1.418651393E0
2.454544950E-1,-5.939999968E-2,8.392999768E-1,-1.172875047E0,1.443464127E0
2.479591100E-1,-7.768750191E-2,8.795874715E-1,-1.176587462E0,1.471076995E0
2.504648800E-1,-9.844999760E-2,9.138249755E-1,-1.181537509E0,1.496929983E0
2.529683430E-1,-1.254000068E-1,9.431124926E-1,-1.190062523E0,1.523625657E0
2.554729570E-1,-1.571625024E-1,9.711624980E-1,-1.201062441E0,1.552548755E0
2.579775720E-1,-1.864500046E-1,9.919250011E-1,-1.215637445E0,1.580016839E0
2.604824180E-1,-2.132624984E-1,1.005399942E0,-1.236400008E0,1.607791939E0
2.629870360E-1,-2.389750034E-1,1.016399980E0,-1.259637475E0,1.636112630E0
2.654916510E-1,-2.597374916E-1,1.026162505E0,-1.286587477E0,1.666067342E0
2.679962660E-1,-2.804999948E-1,1.034687519E0,-1.315874934E0,1.697287646E0
2.705018800E-1,-2.987875044E-1,1.048162460E0,-1.347637534E0,1.733218232E0
2.730055740E-1,-3.147374988E-1,1.065212488E0,-1.384212494E0,1.774762397E0
2.755101870E-1,-3.269749880E-1,1.087212443E0,-1.418449998E0,1.816850004E0
2.780148120E-1,-3.415499926E-1,1.114162445E0,-1.452687502E0,1.862341357E0
2.805196580E-1,-3.550249934E-1,1.139737487E0,-1.484449983E0,1.904897907E0
2.830240450E-1,-3.684999943E-1,1.164212465E0,-1.511399984E0,1.943067889E0
2.855286580E-1,-3.892624974E-1,1.183737516E0,-1.530925035E0,1.973953207E0
2.880335040E-1,-4.112625122E-1,1.194737434E0,-1.545500040E0,1.996272718E0
2.905390340E-1,-4.345000088E-1,1.195974946E0,-1.552924991E0,2.007665897E0
2.930427280E-1,-4.600749910E-1,1.182500005E0,-1.552924991E0,2.005380584E0
2.955471110E-1,-4.894999862E-1,1.164212465E0,-1.546737432E0,1.996846911E0
2.980519570E-1,-5.200250149E-1,1.144687533E0,-1.533262491E0,1.982833687E0
3.005565690E-1,-5.493124723E-1,1.120212436E0,-1.517449975E0,1.964503632E0
3.030611840E-1,-5.761250257E-1,1.093400002E0,-1.496687531E0,1.941009319E0
3.055658000E-1,-6.043124795E-1,1.060400009E0,-1.475924969E0,1.915201364E0
3.080704150E-1,-6.298875213E-1,1.024924994E0,-1.452687502E0,1.886141699E0
3.105760290E-1,-6.543624997E-1,9.858750105E-1,-1.428212523E0,1.854705052E0
3.130797180E-1,-6.788374782E-1,9.479249716E-1,-1.404974937E0,1.825742766E0
3.155843310E-1,-7.031750083E-1,9.076374769E-1,-1.383112550E0,1.797570919E0
3.180889470E-1,-7.251750231E-1,8.710625172E-1,-1.364687443E0,1.773978731E0
3.205935620E-1,-7.459374666E-1,8.380625248E-1,-1.345162511E0,1.751637428E0
3.230981780E-1,-7.643625140E-1,8.062999845E-1,-1.330449939E0,1.733339770E0
3.256030240E-1,-7.801749706E-1,7.745375037E-1,-1.318349957E0,1.716574478E0
3.281076410E-1,-7.924125195E-1,7.512999773E-1,-1.306112528E0,1.702439189E0
3.306132540E-1,-7.997000217E-1,7.342500091E-1,-1.299924970E0,1.693649352E0
3.331169390E-1,-7.997000217E-1,7.280625105E-1,-1.297587514E0,1.689179831E0
3.356215520E-1,-7.984625101E-1,7.305374742E-1,-1.296350002E0,1.688712737E0
3.381261680E-1,-7.886999846E-1,7.402999997E-1,-1.302399993E0,1.693026136E0
3.406307830E-1,-7.766000032E-1,7.598249912E-1,-1.315874934E0,1.706449069E0
3.431353980E-1,-7.741249800E-1,7.793499827E-1,-1.323162436E0,1.719713556E0
3.456400140E-1,-8.278874755E-1,7.891125083E-1,-1.282874942E0,1.718680988E0
3.481448600E-1,-8.828874826E-1,8.282999992E-1,-1.235162497E0,1.729507904E0
3.506504750E-1,-8.828874826E-1,8.991125226E-1,-1.238875031E0,1.767117704E0
3.531540930E-1,-8.436999917E-1,9.663500190E-1,-1.284112453E0,1.815105184E0
3.556587110E-1,-7.789375186E-1,1.033450007E0,-1.339112520E0,1.862252646E0
3.581633260E-1,-6.946499944E-1,1.098212481E0,-1.380637527E0,1.895987671E0
3.606679420E-1,-5.981249809E-1,1.155687451E0,-1.397687435E0,1.909685090E0
3.631725570E-1,-5.053125024E-1,1.215499997E0,-1.391637444E0,1.915577131E0
3.656771540E-1,-4.222624898E-1,1.283975005E0,-1.384212494E0,1.934668357E0
3.681817690E-1,-3.489750028E-1,1.359737515E0,-1.384212494E0,1.971475055E0
