"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.452702970E-1,-2.059749961E-1,-2.237125039E-1,1.805374920E-1,3.536478043E-1
1.477751140E-1,-1.864500046E-1,-2.274249941E-1,1.890625060E-1,3.496145925E-1
1.502797320E-1,-1.669249982E-1,-2.261874974E-1,1.951124966E-1,3.421894582E-1
1.527853450E-1,-1.473999918E-1,-2.213750035E-1,2.000624985E-1,3.328042263E-1
1.552890390E-1,-1.266375035E-1,-2.139499933E-1,2.050125003E-1,3.222449102E-1
1.577936530E-1,-1.058750004E-1,-2.018499970E-1,2.098249942E-1,3.098055280E-1
1.602982440E-1,-8.882500231E-2,-1.896124929E-1,2.135374993E-1,2.990669526E-1
1.628027850E-1,-6.682500243E-2,-1.724250019E-1,2.158749998E-1,2.842498509E-1
1.653077060E-1,-4.606249928E-2,-1.566125005E-1,2.171124965E-1,2.716377465E-1
1.678123230E-1,-2.887500077E-2,-1.419000030E-1,2.183499932E-1,2.620040001E-1
1.703169230E-1,-1.539999992E-2,-1.260875016E-1,2.158749998E-1,2.504740178E-1
1.728227680E-1,4.124999978E-4,-1.101374999E-1,2.123000026E-1,2.391688318E-1
1.753261540E-1,1.636249945E-2,-9.184999764E-2,2.085874975E-1,2.285014170E-1
1.778308450E-1,2.846249938E-2,-7.108750194E-2,2.025374919E-1,2.165294032E-1
1.803354350E-1,4.069999978E-2,-4.908749834E-2,1.951124966E-1,2.052680170E-1
1.828402810E-1,4.812499881E-2,-2.461249940E-2,1.865874976E-1,1.942593238E-1
1.853448990E-1,5.541250110E-2,9.624999948E-4,1.768250018E-1,1.853066457E-1
1.878495140E-1,6.146249920E-2,2.419999987E-2,1.683000028E-1,1.807986995E-1
1.903541290E-1,6.641250104E-2,4.743750021E-2,1.597750038E-1,1.794128996E-1
1.928597340E-1,6.888750196E-2,7.067500055E-2,1.523499936E-1,1.815240044E-1
1.953634280E-1,6.888750196E-2,9.515000135E-2,1.450625062E-1,1.866604977E-1
1.978682720E-1,7.246249914E-2,1.182499975E-1,1.402499974E-1,1.972408108E-1
2.003728900E-1,7.493750006E-2,1.390125006E-1,1.377750039E-1,2.095758954E-1
2.028775190E-1,7.493750006E-2,1.586750001E-1,1.365374923E-1,2.223417895E-1
2.053821340E-1,7.741250098E-2,1.782000065E-1,1.352999955E-1,2.367573154E-1
2.078868250E-1,8.112499863E-2,1.977249980E-1,1.365374923E-1,2.536117644E-1
2.103916710E-1,8.112499863E-2,2.160124928E-1,1.377750039E-1,2.687463751E-1
2.128971990E-1,8.112499863E-2,2.331999987E-1,1.402499974E-1,2.839605018E-1
2.154008940E-1,8.112499863E-2,2.477750033E-1,1.425874978E-1,2.971614245E-1
2.179055070E-1,7.988750190E-2,2.649624944E-1,1.463000029E-1,3.130348659E-1
2.204101990E-1,7.617499679E-2,2.747249901E-1,1.487749964E-1,3.215749522E-1
2.229147400E-1,7.369999588E-2,2.795374990E-1,1.523499936E-1,3.267773298E-1
2.254194350E-1,6.888750196E-2,2.844874859E-1,1.535875052E-1,3.305567112E-1
2.279240520E-1,6.517499685E-2,2.820124924E-1,1.560624987E-1,3.288378470E-1
2.304286680E-1,6.146249920E-2,2.722499967E-1,1.585374922E-1,3.209857254E-1
2.329344350E-1,5.664999783E-2,2.649624944E-1,1.622499973E-1,3.158154640E-1
2.354381290E-1,4.812499881E-2,2.527250051E-1,1.658249944E-1,3.060782131E-1
2.379428150E-1,4.441250116E-2,2.404875010E-1,1.720124930E-1,2.989899767E-1
2.404473550E-1,3.946249932E-2,2.307250053E-1,1.755875051E-1,2.926128652E-1
2.429519690E-1,3.217500076E-2,2.209624946E-1,1.792999953E-1,2.863706392E-1
2.454568920E-1,2.736249939E-2,2.135374993E-1,1.830125004E-1,2.825606931E-1
2.479612780E-1,2.488750033E-2,2.062499970E-1,1.817750037E-1,2.760445633E-1
2.504661220E-1,1.993750036E-2,2.001999915E-1,1.817750037E-1,2.711451502E-1
2.529719690E-1,1.512499992E-2,1.927749962E-1,1.817750037E-1,2.653923826E-1
2.554754320E-1,7.699999958E-3,1.830125004E-1,1.805374920E-1,2.571899130E-1
2.579800460E-1,1.649999991E-3,1.744875014E-1,1.792999953E-1,2.501941225E-1
2.604848920E-1,-8.112499490E-3,1.647250056E-1,1.755875051E-1,2.408964758E-1
2.629892690E-1,-1.539999992E-2,1.574375033E-1,1.720124930E-1,2.336921591E-1
2.654941130E-1,-2.516249940E-2,1.524875015E-1,1.670625061E-1,2.275861824E-1
2.679987310E-1,-3.258749843E-2,1.489125043E-1,1.585374922E-1,2.199341161E-1
2.705034210E-1,-3.616249934E-2,1.476749927E-1,1.475374997E-1,2.118559502E-1
2.730092090E-1,-4.606249928E-2,1.451999992E-1,1.352999955E-1,2.037421959E-1
2.755129040E-1,-4.963750020E-2,1.476749927E-1,1.205874979E-1,1.970104808E-1
2.780175170E-1,-5.335000157E-2,1.512500048E-1,1.035374999E-1,1.908999751E-1
2.805219040E-1,-5.582499877E-2,1.561999917E-1,8.648750186E-2,1.870693879E-1
2.830267340E-1,-5.706249923E-2,1.634874940E-1,6.929999590E-2,1.865121415E-1
2.855313510E-1,-5.582499877E-2,1.684374958E-1,5.101250112E-2,1.846344923E-1
2.880360420E-1,-5.335000157E-2,1.744875014E-1,3.506249934E-2,1.857995954E-1
2.905405820E-1,-4.963750020E-2,1.769624949E-1,1.677500084E-2,1.845562425E-1
2.930464210E-1,-4.482499883E-2,1.782000065E-1,-1.512499992E-3,1.837574774E-1
2.955498850E-1,-3.987500072E-2,1.806750000E-1,-1.856249943E-2,1.859517079E-1
2.980544980E-1,-3.506249934E-2,1.842499971E-1,-3.575000167E-2,1.909332421E-1
3.005593440E-1,-2.639999986E-2,1.842499971E-1,-5.279999971E-2,1.934757386E-1
3.030639520E-1,-2.158750035E-2,1.842499971E-1,-6.875000149E-2,1.978399462E-1
3.055685670E-1,-1.539999992E-2,1.842499971E-1,-8.456250280E-2,2.033126615E-1
3.080732570E-1,-1.058750041E-2,1.842499971E-1,-9.803749621E-2,2.089772889E-1
3.105778750E-1,-8.112499490E-3,1.794375032E-1,-1.150875017E-1,2.133278305E-1
3.130836420E-1,-5.637499969E-3,1.744875014E-1,-1.273249984E-1,2.160771269E-1
3.155873500E-1,-9.349999949E-3,1.610125005E-1,-1.395625025E-1,2.132841765E-1
3.180919640E-1,-1.429999992E-2,1.414874941E-1,-1.493249983E-1,2.062065860E-1
3.205965790E-1,-1.911249943E-2,1.182499975E-1,-1.578499973E-1,1.981539078E-1
3.231012710E-1,-2.639999986E-2,9.019999951E-2,-1.627999991E-1,1.879809555E-1
3.256058890E-1,-2.887500077E-2,6.091250107E-2,-1.665125042E-1,1.796399525E-1
3.281107330E-1,-3.135000169E-2,3.767500073E-2,-1.688500047E-1,1.758196586E-1
3.306153500E-1,-3.258749843E-2,1.691249944E-2,-1.688500047E-1,1.727955490E-1
3.331211950E-1,-3.135000169E-2,9.624999948E-4,-1.652749926E-1,1.682247669E-1
3.356246630E-1,-2.887500077E-2,-1.113750041E-2,-1.603250057E-1,1.632847728E-1
3.381292770E-1,-2.516249940E-2,-1.979999989E-2,-1.542750001E-1,1.575625813E-1
3.406338920E-1,-2.158750035E-2,-2.832499892E-2,-1.468500048E-1,1.511067492E-1
3.431387380E-1,-2.034999989E-2,-3.437500075E-2,-1.370874941E-1,1.427891600E-1
3.456433500E-1,-1.539999992E-2,-3.808749840E-2,-1.273249984E-1,1.337889111E-1
3.481479660E-1,-1.306249946E-2,-3.932499886E-2,-1.187999994E-1,1.258194114E-1
3.506525810E-1,-8.112499490E-3,-3.808749840E-2,-1.090374961E-1,1.157827524E-1
3.531581950E-1,-4.399999976E-3,-3.684999794E-2,-1.040875018E-1,1.105056124E-1
3.556618890E-1,1.649999991E-3,-3.437500075E-2,-9.803749621E-2,1.039024246E-1
3.581667330E-1,5.362499971E-3,-3.079999983E-2,-9.432499856E-2,9.937103073E-2
3.606713500E-1,1.264999993E-2,-2.461249940E-2,-9.308750182E-2,9.711375094E-2
3.631759660E-1,1.746249944E-2,-2.103750035E-2,-9.432499856E-2,9.820753872E-2
3.656805810E-1,2.241249941E-2,-1.484999992E-2,-9.432499856E-2,9.808184328E-2
3.681852120E-1,2.612499893E-2,-6.324999966E-3,-9.803749621E-2,1.016556533E-1
3.706898270E-1,2.969999984E-2,2.199999988E-3,-9.927500039E-2,1.036458185E-1
3.731956710E-1,2.846249938E-2,8.387500420E-3,-1.017500013E-1,1.059883333E-1
3.756991350E-1,2.612499893E-2,1.691249944E-2,-1.053249985E-1,1.098266976E-1
3.782039590E-1,2.488750033E-2,3.038750030E-2,-1.077999994E-1,1.147328537E-1
3.807085740E-1,1.993750036E-2,4.138749838E-2,-1.102750003E-1,1.194613102E-1
3.832131900E-1,1.746249944E-2,5.238749832E-2,-1.127500013E-1,1.255466115E-1
3.857178820E-1,1.388750039E-2,6.091250107E-2,-1.139874980E-1,1.299859421E-1
3.882225140E-1,8.937500417E-3,6.943749636E-2,-1.150875017E-1,1.347092345E-1
3.907273590E-1,5.362499971E-3,7.191249728E-2,-1.150875017E-1,1.358134630E-1
3.932329740E-1,2.887499984E-3,7.315000147E-2,-1.163249984E-1,1.374436817E-1
3.957365910E-1,-8.249999955E-4,7.315000147E-2,-1.139874980E-1,1.354428036E-1
3.982412820E-1,-3.299999982E-3,6.696250290E-2,-1.102750003E-1,1.290559665E-1
4.007458340E-1,-5.637499969E-3,6.091250107E-2,-1.053249985E-1,1.218009421E-1
4.032505260E-1,-9.349999949E-3,4.991250113E-2,-9.927500039E-2,1.115087708E-1
4.057551440E-1,-1.182499994E-2,4.015000165E-2,-9.075000137E-2,9.993706021E-2
4.082597590E-1,-1.182499994E-2,2.791249938E-2,-8.208750188E-2,8.750597814E-2
4.107645930E-1,-1.306249946E-2,1.938750036E-2,-7.232499868E-2,7.600927243E-2
4.132701320E-1,-1.182499994E-2,1.443750039E-2,-6.132499874E-2,6.410169663E-2
4.157738260E-1,-1.058750041E-2,5.912499968E-3,-5.032499880E-2,5.176541630E-2
4.182784400E-1,-9.349999949E-3,-6.324999966E-3,-3.946249932E-2,4.104530395E-2
4.207831320E-1,-8.112499490E-3,-2.461249940E-2,-2.598750032E-2,3.670065324E-2
4.232877470E-1,-5.637499969E-3,-4.413750023E-2,-1.498750038E-2,4.695237481E-2
4.257923630E-1,-2.062499989E-3,-6.366249919E-2,-5.224999972E-3,6.390984536E-2
4.282972090E-1,4.124999978E-3,-8.084999770E-2,3.299999982E-3,8.102239044E-2
4.308018260E-1,1.141249947E-2,-9.308750182E-2,1.196249947E-2,9.454432576E-2
4.333074400E-1,1.993750036E-2,-1.016125008E-1,1.677500084E-2,1.048999757E-1
4.358110570E-1,2.846249938E-2,-1.088999957E-1,2.048750035E-2,1.144074325E-1
4.383157470E-1,3.836249933E-2,-1.126125008E-1,2.419999987E-2,1.214038578E-1
4.408205930E-1,4.688749835E-2,-1.163249984E-1,2.777500078E-2,1.284577496E-1
4.433249800E-1,5.541250110E-2,-1.186624989E-1,3.024999984E-2,1.344112957E-1
4.458297860E-1,6.146249920E-2,-1.223749965E-1,3.396249935E-2,1.410912115E-1
4.483344040E-1,6.764999777E-2,-1.273249984E-1,3.877500072E-2,1.493039788E-1
4.508390940E-1,7.369999588E-2,-1.308999956E-1,4.372499883E-2,1.564556607E-1
4.533448630E-1,7.988750190E-2,-1.321374923E-1,4.977500066E-2,1.622340301E-1
4.558485660E-1,8.346249908E-2,-1.333750039E-1,5.596249923E-2,1.669930590E-1
4.583531800E-1,8.717499673E-2,-1.370874941E-1,6.324999779E-2,1.743359496E-1
4.608577950E-1,9.198749810E-2,-1.406625062E-1,7.053750008E-2,1.822722672E-1
4.633624880E-1,9.446249902E-2,-1.468500048E-1,7.906249911E-2,1.916741151E-1
4.658671050E-1,9.817499667E-2,-1.553750038E-1,8.882500231E-2,2.041313372E-1
4.683717160E-1,9.941250086E-2,-1.626625061E-1,9.501250088E-2,2.130007313E-1
4.708765610E-1,1.018875018E-1,-1.711875051E-1,1.010624990E-1,2.233827514E-1
4.733820990E-1,1.042250022E-1,-1.773750037E-1,1.047749966E-1,2.308734349E-1
4.758855630E-1,1.067000031E-1,-1.871374995E-1,1.072499976E-1,2.406405958E-1
4.783904070E-1,1.091749966E-1,-1.931875050E-1,1.108250022E-1,2.480378461E-1
4.808950360E-1,1.104125008E-1,-1.993750036E-1,1.120624989E-1,2.539671555E-1
4.833996510E-1,1.079374999E-1,-2.054249942E-1,1.132999957E-1,2.582379158E-1
4.859042670E-1,1.079374999E-1,-2.091374993E-1,1.182499975E-1,2.633857616E-1
4.884089590E-1,1.042250022E-1,-2.139499933E-1,1.205874979E-1,2.667935445E-1
4.909135770E-1,1.006499976E-1,-2.164250016E-1,1.218250021E-1,2.679767424E-1
4.934193440E-1,9.817499667E-2,-2.151875049E-1,1.255374998E-1,2.677753836E-1
4.959231150E-1,9.322500229E-2,-2.127124965E-1,1.304875016E-1,2.663916202E-1
4.984277280E-1,9.088750184E-2,-2.091374993E-1,1.365374923E-1,2.657847219E-1
5.009322910E-1,9.088750184E-2,-2.054249942E-1,1.413500011E-1,2.654049530E-1
5.034369830E-1,8.841250092E-2,-1.981374919E-1,1.475374997E-1,2.623786383E-1
5.059416010E-1,8.717499673E-2,-1.896124929E-1,1.523499936E-1,2.583851739E-1
5.084464450E-1,8.222500235E-2,-1.773750037E-1,1.572999954E-1,2.509305312E-1
5.109510620E-1,7.617499679E-2,-1.639000028E-1,1.610125005E-1,2.420555027E-1
5.134569110E-1,6.888750196E-2,-1.491875052E-1,1.670625061E-1,2.343336949E-1
5.159603750E-1,5.541250110E-2,-1.260875016E-1,1.732500046E-1,2.213236713E-1
5.184649880E-1,3.946249932E-2,-1.003749967E-1,1.780624986E-1,2.081794471E-1
5.209696040E-1,2.241249941E-2,-7.108750194E-2,1.841125041E-1,1.986282136E-1
5.234742190E-1,-8.249999955E-4,-3.808749840E-2,1.903000027E-1,1.940758336E-1
5.259790740E-1,-2.406249940E-2,2.199999988E-3,1.951124966E-1,1.966029761E-1
5.284836920E-1,-5.087500066E-2,4.015000165E-2,2.000624985E-1,2.102981018E-1
5.309883070E-1,-7.892499864E-2,8.291249722E-2,2.050125003E-1,2.348057982E-1
5.334941510E-1,-1.106875017E-1,1.256749928E-1,2.110625058E-1,2.694314537E-1
5.359976310E-1,-1.436875015E-1,1.757249981E-1,2.158749998E-1,3.132529147E-1
5.385024750E-1,-1.779250056E-1,2.270125002E-1,2.208250016E-1,3.632570222E-1
5.410068610E-1,-2.146375030E-1,2.869625092E-1,2.220624983E-1,4.215785722E-1
5.435117060E-1,-2.536875010E-1,3.480125070E-1,2.220624983E-1,4.845428839E-1
5.460163230E-1,-2.927374840E-1,4.127750099E-1,2.183499932E-1,5.511398759E-1
5.485209980E-1,-3.367374837E-1,4.823499918E-1,2.123000026E-1,6.253998230E-1
5.510256160E-1,-3.819749951E-1,5.495874882E-1,2.025374919E-1,6.992658577E-1
5.535313830E-1,-4.295499921E-1,6.168249846E-1,1.878249943E-1,7.747673753E-1
5.560348460E-1,-4.822124839E-1,6.814500093E-1,1.732500046E-1,8.525951906E-1
5.585396960E-1,-5.322625041E-1,7.438749671E-1,1.548250020E-1,9.276982921E-1
5.610443110E-1,-5.908374786E-1,8.036875129E-1,1.365374923E-1,1.006799400E0
5.635489260E-1,-6.495500207E-1,8.611624837E-1,1.132999957E-1,1.084598055E0
5.660535420E-1,-7.118374705E-1,9.124500155E-1,9.006249905E-2,1.160770808E0
5.685584650E-1,-7.741249800E-1,9.564499855E-1,7.177499682E-2,1.232565499E0
5.710630680E-1,-8.388875127E-1,9.905499816E-1,5.472499877E-2,1.299198349E0
5.735686820E-1,-9.036499858E-1,1.011312485E0,4.124999791E-2,1.356848481E0
5.760723760E-1,-9.696499705E-1,1.004024982E0,3.148749843E-2,1.396165711E0
5.785769890E-1,-1.035650015E0,9.564499855E-1,2.172499895E-2,1.409907622E0
5.810815860E-1,-1.095462441E0,8.537374735E-1,1.553750038E-2,1.388937381E0
