"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.427648930E-1,2.521750033E-1,4.789125025E-1,4.519625008E-1,7.051379436E-1
1.452706770E-1,2.937000096E-1,5.191999674E-1,4.849624932E-1,7.687762493E-1
1.477741410E-1,3.291749954E-1,5.607249737E-1,5.069624782E-1,8.244874941E-1
1.502787540E-1,3.584625125E-1,6.022499800E-1,5.216749907E-1,8.736962900E-1
1.527836010E-1,3.889875114E-1,6.462500095E-1,5.277249813E-1,9.205672245E-1
1.552882180E-1,4.195125103E-1,6.950625181E-1,5.277249813E-1,9.682955676E-1
1.577928420E-1,4.549874961E-1,7.537750006E-1,5.227749944E-1,1.023955110E0
1.602974580E-1,4.903250039E-1,8.233500123E-1,5.094375014E-1,1.085288174E0
1.628020730E-1,5.257999897E-1,8.941624761E-1,4.886749983E-1,1.146645288E0
1.653079170E-1,5.465624928E-1,9.724000096E-1,4.556750059E-1,1.204961430E0
1.678113720E-1,5.526124835E-1,1.056687474E0,4.152500033E-1,1.262696139E0
1.703162160E-1,5.405125022E-1,1.145925045E0,3.676750064E-1,1.319273620E0
1.728208310E-1,5.135625005E-1,1.236262441E0,3.151499927E-1,1.375285709E0
1.753255240E-1,4.647499919E-1,1.318212509E0,2.576749921E-1,1.421292783E0
1.778301410E-1,3.902249932E-1,1.360975027E0,1.941500008E-1,1.429063607E0
1.803346750E-1,2.899875045E-1,1.354787469E0,1.233374998E-1,1.390954341E0
1.828392880E-1,1.616999954E-1,1.292500019E0,4.509999976E-2,1.303356129E0
1.853451340E-1,1.017499994E-2,1.176450014E0,-3.299999982E-2,1.176956739E0
1.878485980E-1,-1.509750038E-1,1.016399980E0,-1.087625027E-1,1.033291659E0
1.903532110E-1,-3.207874894E-1,8.270624876E-1,-1.784749925E-1,9.048703193E-1
1.928578260E-1,-4.943124950E-1,6.107749939E-1,-2.443374991E-1,8.228558497E-1
1.953624420E-1,-6.653624773E-1,3.811500072E-1,-3.005749881E-1,8.236066280E-1
1.978670570E-1,-8.351749778E-1,1.391499937E-1,-3.543374836E-1,9.178425881E-1
2.003719030E-1,-1.006224990E0,-1.002374962E-1,-4.020499885E-1,1.088200569E0
2.028765260E-1,-1.178512454E0,-3.177624941E-1,-4.423374832E-1,1.298278497E0
2.053821390E-1,-1.344612479E0,-5.193374753E-1,-4.765749872E-1,1.518162656E0
2.078857560E-1,-1.505900025E0,-7.024874687E-1,-5.046250224E-1,1.736626023E0
2.103904470E-1,-1.654950023E0,-8.674874902E-1,-5.291000009E-1,1.941994061E0
2.128950620E-1,-1.789287448E0,-1.011587501E0,-5.436750054E-1,2.126132958E0
2.153996920E-1,-1.916337490E0,-1.133824944E0,-5.498625040E-1,2.293525050E0
2.179043070E-1,-2.030050039E0,-1.242587447E0,-5.424374938E-1,2.441181100E0
2.204091530E-1,-2.132625103E0,-1.342687488E0,-5.241500139E-1,2.574030450E0
2.229137710E-1,-2.216912508E0,-1.429450035E0,-4.936249852E-1,2.683597231E0
2.254193840E-1,-2.287862539E0,-1.506449938E0,-4.533374906E-1,2.776548450E0
2.279230920E-1,-2.340387583E0,-1.577262521E0,-4.056249857E-1,2.851263356E0
2.304277060E-1,-2.376962423E0,-1.632262468E0,-3.518624902E-1,2.904830174E0
2.329323210E-1,-2.392912388E0,-1.671312451E0,-2.932874858E-1,2.933484712E0
2.354371670E-1,-2.397725105E0,-1.694550037E0,-2.334749997E-1,2.945351606E0
2.379417710E-1,-2.389199972E0,-1.692075014E0,-1.674750000E-1,2.932480560E0
